"r","yr","value"
"ar",2005,1939.90512800521
"ca",2005,9683.05148779622
"co",2005,831.502538704391
"ct",2005,153.218108360644
"de",2005,140.951853155975
"fl",2005,2095.04407005709
"ga",2005,1480.04468659908
"hi",2005,185.836292587729
"id",2005,821.568135094495
"il",2005,3694.2123615015
"in",2005,1902.52772692117
"ia",2005,4402.28361512738
"ks",2005,2205.793557629
"ky",2005,1295.41853745065
"la",2005,777.969171998994
"me",2005,129.669278970928
"md",2005,315.896406987654
"ma",2005,121.275958459027
"mi",2005,1148.25971476113
"mn",2005,2721.18241771934
"ms",2005,1086.19783577939
"mo",2005,1696.00723505772
"mt",2005,637.123353627186
"ne",2005,2492.17125209941
"nv",2005,63.4698473778801
"nh",2005,38.3747359190969
"nj",2005,291.539535921942
"nm",2005,369.160494537714
"ny",2005,579.952458512772
"nc",2005,2099.2956439605
"nd",2005,1650.82891225893
"oh",2005,1659.33869578967
"ok",2005,1001.13960634821
"or",2005,1010.64190480467
"pa",2005,857.468784980849
"ri",2005,19.6702236202563
"sc",2005,479.588241652699
"sd",2005,1423.41180151818
"tn",2005,780.155769503568
"tx",2005,3649.24674773089
"ut",2005,203.06991225134
"vt",2005,60.0579876083248
"va",2005,574.664309382986
"wa",2005,1613.67176088875
"wv",2005,63.6420932843754
"wi",2005,1171.05317627991
"wy",2005,111.429552293111
"al",2006,698.622596469128
"ak",2006,9.47692280686332
"az",2006,706.173666489467
"ar",2006,2051.71555146336
"ca",2006,10354.4118327543
"co",2006,967.889422002927
"ct",2006,160.747419409594
"de",2006,137.775203004118
"fl",2006,2276.18134773324
"ga",2006,1514.21500403523
"hi",2006,198.636577556686
"id",2006,923.520614391963
"il",2006,4085.54087067912
"in",2006,2397.40387392929
"ia",2006,5266.63963183378
"ks",2006,2330.04331108581
"ky",2006,1433.10076910076
"la",2006,823.223629291534
"me",2006,145.41251131856
"md",2006,336.830148208944
"ma",2006,142.71879811894
"mi",2006,1433.67319344985
"mn",2006,3512.36457083223
"ms",2006,1144.53511825031
"mo",2006,1859.98834873809
"mt",2006,666.495284292566
"ne",2006,3077.38333958683
"nv",2006,77.5561908549687
"nh",2006,42.6431102161061
"nj",2006,335.982742364843
"nm",2006,397.263398437104
"ny",2006,672.930521428098
"nc",2006,2364.41441557288
"nd",2006,1912.47463479586
"oh",2006,1940.67930449382
"ok",2006,903.764901600872
"or",2006,1236.39580208972
"pa",2006,951.981458224463
"ri",2006,21.5181734675088
"sc",2006,543.340610070532
"sd",2006,1441.88028223866
"tn",2006,846.283464244517
"tx",2006,4130.2483280272
"ut",2006,225.747815302972
"vt",2006,67.0307909091027
"va",2006,619.99549310466
"wa",2006,1841.19388665055
"wv",2006,67.3687644460929
"wi",2006,1515.62156291869
"wy",2006,131.356791707272
"al",2007,842.331026007465
"ak",2007,10.2000342959639
"az",2007,843.915010802117
"ar",2007,2605.99057502796
"ca",2007,11564.4858177625
"co",2007,1286.90189923939
"ct",2007,193.816535592847
"de",2007,187.256783420164
"fl",2007,2608.41600276585
"ga",2007,1910.75720282886
"hi",2007,211.289925953773
"id",2007,1216.0087498552
"il",2007,5847.4311391872
"in",2007,3245.03464701637
"ia",2007,6830.95092701379
"ks",2007,3394.36315387497
"ky",2007,1675.98617267744
"la",2007,1132.389611628
"me",2007,165.303351709216
"md",2007,426.78740093697
"ma",2007,170.300511359632
"mi",2007,1827.06335266788
"mn",2007,4454.36775505881
"ms",2007,1461.04066141699
"mo",2007,2588.3611739914
"mt",2007,943.744506345697
"ne",2007,4181.6745014823
"nv",2007,83.9792467802524
"nh",2007,51.8960331750074
"nj",2007,396.876836219435
"nm",2007,489.72304679613
"ny",2007,870.861890672547
"nc",2007,2668.55758570688
"nd",2007,3063.02361471382
"oh",2007,2441.45496952855
"ok",2007,1205.76352036864
"or",2007,1428.26742956498
"pa",2007,1195.35457034642
"ri",2007,23.0971548127883
"sc",2007,590.860631721186
"sd",2007,2190.79924389694
"tn",2007,988.659292085346
"tx",2007,4927.68818527284
"ut",2007,264.384607120531
"vt",2007,89.1848169340739
"va",2007,733.551761931627
"wa",2007,2401.3715526555
"wv",2007,79.3382718827555
"wi",2007,1818.15273182173
