"hh","state","n","year","sname"
"hh5","34",201,2001,"new jersey"
"hh5","35",23,2001,"new mexico"
"hh5","36",251,2001,"new york"
"hh5","37",55,2001,"north carolina"
"hh5","38",22,2001,"north dakota"
"hh5","39",105,2001,"ohio"
"hh5","40",18,2001,"oklahoma"
"hh5","41",47,2001,"oregon"
"hh5","42",168,2001,"pennsylvania"
"hh5","44",82,2001,"rhode island"
"hh5","45",28,2001,"south carolina"
"hh5","46",18,2001,"south dakota"
"hh5","47",40,2001,"tennessee"
"hh5","48",181,2001,"texas"
"hh5","49",38,2001,"utah"
"hh5","50",44,2001,"vermont"
"hh5","51",94,2001,"virginia"
"hh5","53",86,2001,"washington"
"hh5","54",26,2001,"west virginia"
"hh5","55",82,2001,"wisconsin"
"hh5","56",14,2001,"wyoming"
"hh1","0",22125,2002,"united states"
"hh2","0",21360,2002,"united states"
"hh3","0",14759,2002,"united states"
"hh4","0",16072,2002,"united states"
"hh5","0",3991,2002,"united states"
"hh1","1",409,2002,"alabama"
"hh1","2",213,2002,"alaska"
"hh1","4",305,2002,"arizona"
"hh1","5",355,2002,"arkansas"
"hh1","6",1502,2002,"california"
"hh1","8",363,2002,"colorado"
"hh1","9",322,2002,"connecticut"
"hh1","10",205,2002,"delaware"
"hh1","11",368,2002,"district of columbia"
"hh1","12",1115,2002,"florida"
"hh1","13",335,2002,"georgia"
"hh1","15",270,2002,"hawaii"
"hh1","16",266,2002,"idaho"
"hh1","17",746,2002,"illinois"
"hh1","18",414,2002,"indiana"
"hh1","19",314,2002,"iowa"
"hh1","20",355,2002,"kansas"
"hh1","21",343,2002,"kentucky"
"hh1","22",365,2002,"louisiana"
"hh1","23",394,2002,"maine"
"hh1","24",259,2002,"maryland"
"hh1","25",357,2002,"massachusetts"
"hh1","26",621,2002,"michigan"
"hh1","27",267,2002,"minnesota"
"hh1","28",332,2002,"mississippi"
"hh1","29",315,2002,"missouri"
"hh1","30",296,2002,"montana"
"hh1","31",315,2002,"nebraska"
"hh1","32",358,2002,"nevada"
"hh1","33",248,2002,"new hampshire"
"hh1","34",442,2002,"new jersey"
"hh1","35",361,2002,"new mexico"
"hh1","36",1236,2002,"new york"
"hh1","37",566,2002,"north carolina"
"hh1","38",339,2002,"north dakota"
"hh1","39",644,2002,"ohio"
"hh1","40",353,2002,"oklahoma"
"hh1","41",336,2002,"oregon"
"hh1","42",729,2002,"pennsylvania"
"hh1","44",362,2002,"rhode island"
"hh1","45",337,2002,"south carolina"
"hh1","46",360,2002,"south dakota"
"hh1","47",335,2002,"tennessee"
"hh1","48",1118,2002,"texas"
"hh1","49",206,2002,"utah"
"hh1","50",292,2002,"vermont"
"hh1","51",315,2002,"virginia"
"hh1","53",354,2002,"washington"
"hh1","54",463,2002,"west virginia"
"hh1","55",355,2002,"wisconsin"
"hh1","56",295,2002,"wyoming"
"hh2","1",305,2002,"alabama"
"hh2","2",304,2002,"alaska"
"hh2","4",325,2002,"arizona"
"hh2","5",266,2002,"arkansas"
"hh2","6",1473,2002,"california"
"hh2","8",437,2002,"colorado"
"hh2","9",280,2002,"connecticut"
"hh2","10",289,2002,"delaware"
"hh2","11",282,2002,"district of columbia"
"hh2","12",1011,2002,"florida"
"hh2","13",324,2002,"georgia"
"hh2","15",276,2002,"hawaii"
"hh2","16",315,2002,"idaho"
"hh2","17",724,2002,"illinois"
"hh2","18",419,2002,"indiana"
"hh2","19",368,2002,"iowa"
"hh2","20",376,2002,"kansas"
"hh2","21",318,2002,"kentucky"
"hh2","22",256,2002,"louisiana"
"hh2","23",340,2002,"maine"
"hh2","24",294,2002,"maryland"
"hh2","25",325,2002,"massachusetts"
"hh2","26",556,2002,"michigan"
"hh2","27",324,2002,"minnesota"
"hh2","28",223,2002,"mississippi"
"hh2","29",320,2002,"missouri"
"hh2","30",262,2002,"montana"
"hh2","31",342,2002,"nebraska"
"hh2","32",492,2002,"nevada"
"hh2","33",270,2002,"new hampshire"
"hh2","34",439,2002,"new jersey"
"hh2","35",289,2002,"new mexico"
"hh2","36",1008,2002,"new york"
"hh2","37",476,2002,"north carolina"
"hh2","38",320,2002,"north dakota"
"hh2","39",670,2002,"ohio"
"hh2","40",343,2002,"oklahoma"
"hh2","41",345,2002,"oregon"
"hh2","42",726,2002,"pennsylvania"
"hh2","44",368,2002,"rhode island"
"hh2","45",305,2002,"south carolina"
"hh2","46",346,2002,"south dakota"
"hh2","47",272,2002,"tennessee"
"hh2","48",982,2002,"texas"
"hh2","49",278,2002,"utah"
"hh2","50",290,2002,"vermont"
"hh2","51",353,2002,"virginia"
"hh2","53",392,2002,"washington"
"hh2","54",316,2002,"west virginia"
"hh2","55",423,2002,"wisconsin"
"hh2","56",323,2002,"wyoming"
"hh3","1",226,2002,"alabama"
"hh3","2",239,2002,"alaska"
"hh3","4",192,2002,"arizona"
"hh3","5",152,2002,"arkansas"
"hh3","6",981,2002,"california"
"hh3","8",338,2002,"colorado"
"hh3","9",260,2002,"connecticut"
"hh3","10",216,2002,"delaware"
"hh3","11",151,2002,"district of columbia"
"hh3","12",617,2002,"florida"
"hh3","13",236,2002,"georgia"
"hh3","15",197,2002,"hawaii"
"hh3","16",196,2002,"idaho"
"hh3","17",524,2002,"illinois"
"hh3","18",308,2002,"indiana"
"hh3","19",286,2002,"iowa"
"hh3","20",281,2002,"kansas"
"hh3","21",188,2002,"kentucky"
"hh3","22",143,2002,"louisiana"
"hh3","23",226,2002,"maine"
"hh3","24",224,2002,"maryland"
"hh3","25",254,2002,"massachusetts"
"hh3","26",421,2002,"michigan"
"hh3","27",302,2002,"minnesota"
"hh3","28",131,2002,"mississippi"
"hh3","29",225,2002,"missouri"
"hh3","30",166,2002,"montana"
"hh3","31",252,2002,"nebraska"
"hh3","32",308,2002,"nevada"
"hh3","33",278,2002,"new hampshire"
"hh3","34",359,2002,"new jersey"
"hh3","35",189,2002,"new mexico"
"hh3","36",658,2002,"new york"
"hh3","37",290,2002,"north carolina"
"hh3","38",225,2002,"north dakota"
"hh3","39",473,2002,"ohio"
"hh3","40",182,2002,"oklahoma"
"hh3","41",245,2002,"oregon"
"hh3","42",528,2002,"pennsylvania"
"hh3","44",233,2002,"rhode island"
"hh3","45",168,2002,"south carolina"
"hh3","46",244,2002,"south dakota"
"hh3","47",177,2002,"tennessee"
"hh3","48",616,2002,"texas"
"hh3","49",219,2002,"utah"
"hh3","50",227,2002,"vermont"
"hh3","51",247,2002,"virginia"
"hh3","53",231,2002,"washington"
"hh3","54",178,2002,"west virginia"
"hh3","55",334,2002,"wisconsin"
"hh3","56",218,2002,"wyoming"
"hh4","1",192,2002,"alabama"
"hh4","2",314,2002,"alaska"
"hh4","4",208,2002,"arizona"
"hh4","5",106,2002,"arkansas"
"hh4","6",1286,2002,"california"
"hh4","8",397,2002,"colorado"
"hh4","9",350,2002,"connecticut"
"hh4","10",250,2002,"delaware"
"hh4","11",158,2002,"district of columbia"
"hh4","12",604,2002,"florida"
"hh4","13",209,2002,"georgia"
"hh4","15",245,2002,"hawaii"
"hh4","16",158,2002,"idaho"
"hh4","17",614,2002,"illinois"
"hh4","18",268,2002,"indiana"
"hh4","19",232,2002,"iowa"
"hh4","20",285,2002,"kansas"
"hh4","21",168,2002,"kentucky"
"hh4","22",140,2002,"louisiana"
"hh4","23",205,2002,"maine"
"hh4","24",333,2002,"maryland"
"hh4","25",399,2002,"massachusetts"
"hh4","26",476,2002,"michigan"
"hh4","27",403,2002,"minnesota"
"hh4","28",115,2002,"mississippi"
"hh4","29",256,2002,"missouri"
"hh4","30",117,2002,"montana"
"hh4","31",256,2002,"nebraska"
"hh4","32",319,2002,"nevada"
"hh4","33",357,2002,"new hampshire"
"hh4","34",559,2002,"new jersey"
"hh4","35",142,2002,"new mexico"
"hh4","36",850,2002,"new york"
"hh4","37",277,2002,"north carolina"
"hh4","38",156,2002,"north dakota"
"hh4","39",493,2002,"ohio"
"hh4","40",166,2002,"oklahoma"
"hh4","41",247,2002,"oregon"
"hh4","42",578,2002,"pennsylvania"
"hh4","44",298,2002,"rhode island"
"hh4","45",173,2002,"south carolina"
"hh4","46",196,2002,"south dakota"
"hh4","47",157,2002,"tennessee"
"hh4","48",624,2002,"texas"
"hh4","49",228,2002,"utah"
"hh4","50",215,2002,"vermont"
"hh4","51",320,2002,"virginia"
"hh4","53",336,2002,"washington"
"hh4","54",141,2002,"west virginia"
"hh4","55",316,2002,"wisconsin"
"hh4","56",180,2002,"wyoming"
"hh5","1",37,2002,"alabama"
"hh5","2",59,2002,"alaska"
"hh5","4",52,2002,"arizona"
"hh5","5",24,2002,"arkansas"
"hh5","6",358,2002,"california"
"hh5","8",91,2002,"colorado"
"hh5","9",118,2002,"connecticut"
"hh5","10",49,2002,"delaware"
"hh5","11",76,2002,"district of columbia"
"hh5","12",164,2002,"florida"
"hh5","13",32,2002,"georgia"
"hh5","15",70,2002,"hawaii"
"hh5","16",23,2002,"idaho"
"hh5","17",128,2002,"illinois"
"hh5","18",71,2002,"indiana"
"hh5","19",42,2002,"iowa"
"hh5","20",54,2002,"kansas"
"hh5","21",38,2002,"kentucky"
"hh5","22",29,2002,"louisiana"
"hh5","23",39,2002,"maine"
"hh5","24",131,2002,"maryland"
"hh5","25",108,2002,"massachusetts"
"hh5","26",111,2002,"michigan"
"hh5","27",102,2002,"minnesota"
"hh5","28",23,2002,"mississippi"
"hh5","29",61,2002,"missouri"
"hh5","30",15,2002,"montana"
