"state","hh","tl","tp","tl_avg","tlp"
"me","hh3",0.211716189839826,0.142127264282397,0.0704152141133074,0.353843454122223
"md","hh3",0.218665627812828,0.142127264282397,0.0831418183859566,0.360792892095225
"ma","hh3",0.214566180119656,0.142127264282397,0.085624700251202,0.356693444402053
"mi","hh3",0.209222119914242,0.142127264282397,0.0740271865119576,0.351349384196639
"mn","hh3",0.224830299018086,0.142127264282397,0.0728600349917576,0.366957563300483
"ms","hh3",0.202197339260652,0.142127264282397,0.0691270769561786,0.344324603543048
"mo","hh3",0.203214660637214,0.142127264282397,0.0748562341057657,0.345341924919611
"mt","hh3",0.207366643560803,0.142127264282397,0.0702004054658295,0.349493907843199
"ne","hh3",0.212669177530838,0.142127264282397,0.0675898460665467,0.354796441813235
"nv","hh3",0.161606979492267,0.142127264282397,0.0453227339314488,0.303734243774664
"nh","hh3",0.162147857994211,0.142127264282397,0.0528945146025962,0.304275122276608
"nj","hh3",0.20430972476732,0.142127264282397,0.0749302202703334,0.346436989049716
"nm","hh3",0.203804636966828,0.142127264282397,0.0670230995196133,0.345931901249225
"ny","hh3",0.225774006428523,0.142127264282397,0.0844588787853163,0.36790127071092
"nc","hh3",0.204110027061807,0.142127264282397,0.0819168998619987,0.346237291344204
"nd","hh3",0.176518851435049,0.142127264282397,0.0510972344751282,0.318646115717446
"oh","hh3",0.192622166729465,0.142127264282397,0.0671531945294457,0.334749431011861
"ok","hh3",0.208306030144476,0.142127264282397,0.0745608491619324,0.350433294426873
"or","hh3",0.225205868469001,0.142127264282397,0.0848685666416733,0.367333132751398
"pa","hh3",0.191939151048896,0.142127264282397,0.0738318936307591,0.334066415331293
"ri","hh3",0.200408770683901,0.142127264282397,0.0827160986177124,0.342536034966298
"sc","hh3",0.221305441456643,0.142127264282397,0.0822844488722723,0.36343270573904
"sd","hh3",0.158346655856841,0.142127264282397,0.0421448002373305,0.300473920139237
"tn","hh3",0.161951754328059,0.142127264282397,0.0504991262484082,0.304079018610456
"tx","hh3",0.164192478626859,0.142127264282397,0.0496090919564313,0.306319742909255
"ut","hh3",0.207376559763956,0.142127264282397,0.0647566342444708,0.349503824046353
"vt","hh3",0.199464879776335,0.142127264282397,0.072720330442068,0.341592144058732
"va","hh3",0.209234960243057,0.142127264282397,0.0789421650479217,0.351362224525454
"wa","hh3",0.16119795876953,0.142127264282397,0.0535568523221817,0.303325223051927
"wv","hh3",0.204881661958079,0.142127264282397,0.0740253014248868,0.347008926240475
"wi","hh3",0.222209452806187,0.142127264282397,0.0778819811165967,0.364336717088584
"wy","hh3",0.165637873050391,0.142127264282397,0.0490960501636544,0.307765137332787
"al","hh4",0.215992625116548,0.138159156756805,0.0998048591683874,0.354151781873353
"ak","hh4",0.195640207641595,0.140351166454078,0.0808966563480631,0.335991374095673
"az","hh4",0.220320290977319,0.136662020502622,0.095642818827272,0.356982311479941
"ar","hh4",0.237746781306794,0.137951797759473,0.102467450738434,0.375698579066267
"ca","hh4",0.245856263588294,0.133676178789449,0.0947867954574844,0.379532442377744
"co","hh4",0.225905343231929,0.134002674686793,0.10472752313583,0.359908017918722
"ct","hh4",0.238236393865662,0.136190272496495,0.108066807239802,0.374426666362157
"de","hh4",0.242294637267346,0.134725907834085,0.100448799945777,0.377020545101431
"dc","hh4",0.273477648519806,0.131045308491012,0.13885267000525,0.404522957010819
"fl","hh4",0.188825764893846,0.13841419261901,0.0734410842610265,0.327239957512856
"ga","hh4",0.231187603962542,0.134784768179175,0.108862669539691,0.365972372141718
"hi","hh4",0.246468939231642,0.132790925441797,0.107446007879233,0.37925986467344
"id","hh4",0.239263739051926,0.138052068496155,0.102155811992015,0.377315807548081
"il","hh4",0.223717648253503,0.133800116656132,0.103324265588109,0.357517764909634
"in","hh4",0.211939421894581,0.135913771056838,0.100042056254109,0.347853192951419
"ia","hh4",0.238679818365833,0.136857538028899,0.105655904583513,0.375537356394732
