"year","r","hh","n"
2002,"NJ","hh2",439
2002,"NM","hh2",289
2002,"NY","hh2",1008
2002,"NC","hh2",476
2002,"ND","hh2",320
2002,"OH","hh2",670
2002,"OK","hh2",343
2002,"OR","hh2",345
2002,"PA","hh2",726
2002,"RI","hh2",368
2002,"SC","hh2",305
2002,"SD","hh2",346
2002,"TN","hh2",272
2002,"TX","hh2",982
2002,"UT","hh2",278
2002,"VT","hh2",290
2002,"VA","hh2",353
2002,"WA","hh2",392
2002,"WV","hh2",316
2002,"WI","hh2",423
2002,"WY","hh2",323
2002,"AL","hh3",226
2002,"AK","hh3",239
2002,"AZ","hh3",192
2002,"AR","hh3",152
2002,"CA","hh3",981
2002,"CO","hh3",338
2002,"CT","hh3",260
2002,"DE","hh3",216
2002,"DC","hh3",151
2002,"FL","hh3",617
2002,"GA","hh3",236
2002,"HI","hh3",197
2002,"ID","hh3",196
2002,"IL","hh3",524
2002,"IN","hh3",308
2002,"IA","hh3",286
2002,"KS","hh3",281
2002,"KY","hh3",188
2002,"LA","hh3",143
2002,"ME","hh3",226
2002,"MD","hh3",224
2002,"MA","hh3",254
2002,"MI","hh3",421
2002,"MN","hh3",302
2002,"MS","hh3",131
2002,"MO","hh3",225
2002,"MT","hh3",166
2002,"NE","hh3",252
2002,"NV","hh3",308
2002,"NH","hh3",278
2002,"NJ","hh3",359
2002,"NM","hh3",189
2002,"NY","hh3",658
2002,"NC","hh3",290
2002,"ND","hh3",225
2002,"OH","hh3",473
2002,"OK","hh3",182
2002,"OR","hh3",245
2002,"PA","hh3",528
2002,"RI","hh3",233
2002,"SC","hh3",168
2002,"SD","hh3",244
2002,"TN","hh3",177
2002,"TX","hh3",616
2002,"UT","hh3",219
2002,"VT","hh3",227
2002,"VA","hh3",247
2002,"WA","hh3",231
2002,"WV","hh3",178
2002,"WI","hh3",334
2002,"WY","hh3",218
2002,"AL","hh4",192
2002,"AK","hh4",314
2002,"AZ","hh4",208
2002,"AR","hh4",106
2002,"CA","hh4",1286
2002,"CO","hh4",397
2002,"CT","hh4",350
2002,"DE","hh4",250
2002,"DC","hh4",158
2002,"FL","hh4",604
2002,"GA","hh4",209
2002,"HI","hh4",245
2002,"ID","hh4",158
2002,"IL","hh4",614
2002,"IN","hh4",268
2002,"IA","hh4",232
2002,"KS","hh4",285
2002,"KY","hh4",168
2002,"LA","hh4",140
2002,"ME","hh4",205
2002,"MD","hh4",333
2002,"MA","hh4",399
2002,"MI","hh4",476
2002,"MN","hh4",403
2002,"MS","hh4",115
2002,"MO","hh4",256
2002,"MT","hh4",117
2002,"NE","hh4",256
2002,"NV","hh4",319
2002,"NH","hh4",357
2002,"NJ","hh4",559
2002,"NM","hh4",142
2002,"NY","hh4",850
2002,"NC","hh4",277
2002,"ND","hh4",156
2002,"OH","hh4",493
2002,"OK","hh4",166
2002,"OR","hh4",247
2002,"PA","hh4",578
2002,"RI","hh4",298
2002,"SC","hh4",173
2002,"SD","hh4",196
2002,"TN","hh4",157
2002,"TX","hh4",624
2002,"UT","hh4",228
2002,"VT","hh4",215
2002,"VA","hh4",320
2002,"WA","hh4",336
2002,"WV","hh4",141
2002,"WI","hh4",316
2002,"WY","hh4",180
2002,"AL","hh5",37
2002,"AK","hh5",59
2002,"AZ","hh5",52
2002,"AR","hh5",24
2002,"CA","hh5",358
2002,"CO","hh5",91
2002,"CT","hh5",118
2002,"DE","hh5",49
2002,"DC","hh5",76
2002,"FL","hh5",164
2002,"GA","hh5",32
2002,"HI","hh5",70
2002,"ID","hh5",23
2002,"IL","hh5",128
2002,"IN","hh5",71
2002,"IA","hh5",42
2002,"KS","hh5",54
2002,"KY","hh5",38
2002,"LA","hh5",29
2002,"ME","hh5",39
2002,"MD","hh5",131
2002,"MA","hh5",108
2002,"MI","hh5",111
2002,"MN","hh5",102
2002,"MS","hh5",23
2002,"MO","hh5",61
2002,"MT","hh5",15
2002,"NE","hh5",43
2002,"NV","hh5",65
2002,"NH","hh5",111
